Experiment ID	luminose_hf_goNogo
Animal ID	LUMI-0013
Researcher	Test
Directory path	


Number	Start Time	End Time	Time From Start	Channel	Annotation
0	03/24/26 14:15:34.476	03/24/26 14:15:34.476	0.0000	ALL	Started Recording
1	03/24/26 14:16:07.911	03/24/26 14:16:07.911	33.4348	EEG1	TTL 3: Rise
2	03/24/26 14:16:07.911	03/24/26 14:16:07.911	33.4348	EEG2	TTL 3: Rise
3	03/24/26 14:16:07.911	03/24/26 14:16:07.911	33.4348	EMG	TTL 3: Rise
4	03/24/26 14:16:08.137	03/24/26 14:16:08.137	33.6602	EEG1	TTL 3: Fall
5	03/24/26 14:16:08.137	03/24/26 14:16:08.137	33.6602	EEG2	TTL 3: Fall
6	03/24/26 14:16:08.137	03/24/26 14:16:08.137	33.6602	EMG	TTL 3: Fall
7	03/24/26 14:16:08.285	03/24/26 14:16:08.285	33.8081	EEG1	TTL 3: Rise
8	03/24/26 14:16:08.285	03/24/26 14:16:08.285	33.8081	EEG2	TTL 3: Rise
9	03/24/26 14:16:08.285	03/24/26 14:16:08.285	33.8081	EMG	TTL 3: Rise
10	03/24/26 14:16:08.570	03/24/26 14:16:08.570	34.0936	EEG1	TTL 3: Fall
11	03/24/26 14:16:08.570	03/24/26 14:16:08.570	34.0936	EEG2	TTL 3: Fall
12	03/24/26 14:16:08.570	03/24/26 14:16:08.570	34.0936	EMG	TTL 3: Fall
13	03/24/26 14:16:08.700	03/24/26 14:16:08.700	34.2239	EEG1	TTL 3: Rise
14	03/24/26 14:16:08.700	03/24/26 14:16:08.700	34.2239	EEG2	TTL 3: Rise
15	03/24/26 14:16:08.700	03/24/26 14:16:08.700	34.2239	EMG	TTL 3: Rise
16	03/24/26 14:16:10.702	03/24/26 14:16:10.702	36.2259	EEG1	TTL 3: Fall
17	03/24/26 14:16:10.702	03/24/26 14:16:10.702	36.2259	EEG2	TTL 3: Fall
18	03/24/26 14:16:10.702	03/24/26 14:16:10.702	36.2259	EMG	TTL 3: Fall
19	03/24/26 14:16:11.702	03/24/26 14:16:11.702	37.2259	EEG1	TTL 3: Rise
20	03/24/26 14:16:11.702	03/24/26 14:16:11.702	37.2259	EEG2	TTL 3: Rise
21	03/24/26 14:16:11.702	03/24/26 14:16:11.702	37.2259	EMG	TTL 3: Rise
22	03/24/26 14:16:12.705	03/24/26 14:16:12.705	38.2284	EEG1	TTL 3: Fall
23	03/24/26 14:16:12.705	03/24/26 14:16:12.705	38.2284	EEG2	TTL 3: Fall
24	03/24/26 14:16:12.705	03/24/26 14:16:12.705	38.2284	EMG	TTL 3: Fall
25	03/24/26 14:16:16.705	03/24/26 14:16:16.705	42.2290	EEG1	TTL 3: Rise
26	03/24/26 14:16:16.705	03/24/26 14:16:16.705	42.2290	EEG2	TTL 3: Rise
27	03/24/26 14:16:16.705	03/24/26 14:16:16.705	42.2290	EMG	TTL 3: Rise
28	03/24/26 14:16:18.704	03/24/26 14:16:18.704	44.2279	EEG1	TTL 3: Fall
29	03/24/26 14:16:18.704	03/24/26 14:16:18.704	44.2279	EEG2	TTL 3: Fall
30	03/24/26 14:16:18.704	03/24/26 14:16:18.704	44.2279	EMG	TTL 3: Fall
31	03/24/26 14:16:19.707	03/24/26 14:16:19.707	45.2303	EEG1	TTL 3: Rise
32	03/24/26 14:16:19.707	03/24/26 14:16:19.707	45.2303	EEG2	TTL 3: Rise
33	03/24/26 14:16:19.707	03/24/26 14:16:19.707	45.2303	EMG	TTL 3: Rise
34	03/24/26 14:16:20.709	03/24/26 14:16:20.709	46.2327	EEG1	TTL 3: Fall
35	03/24/26 14:16:20.709	03/24/26 14:16:20.709	46.2327	EEG2	TTL 3: Fall
36	03/24/26 14:16:20.709	03/24/26 14:16:20.709	46.2327	EMG	TTL 3: Fall
37	03/24/26 14:16:21.057	03/24/26 14:16:21.057	46.5810	EEG1	TTL 3: Rise
38	03/24/26 14:16:21.057	03/24/26 14:16:21.057	46.5810	EEG2	TTL 3: Rise
39	03/24/26 14:16:21.057	03/24/26 14:16:21.057	46.5810	EMG	TTL 3: Rise
40	03/24/26 14:16:21.095	03/24/26 14:16:21.095	46.6186	EEG1	TTL 3: Fall
41	03/24/26 14:16:21.095	03/24/26 14:16:21.095	46.6186	EEG2	TTL 3: Fall
42	03/24/26 14:16:21.095	03/24/26 14:16:21.095	46.6186	EMG	TTL 3: Fall
43	03/24/26 14:16:23.094	03/24/26 14:16:23.094	48.6176	EEG1	TTL 3: Rise
