Experiment ID	luminose_hf_goNogo
Animal ID	LUMI-0013
Researcher	Test
Directory path	


Number	Start Time	End Time	Time From Start	Channel	Annotation
63	03/25/26 18:01:49.979	03/25/26 18:01:49.979	22.4640	EMG	TTL 3: Fall
64	03/25/26 18:01:51.081	03/25/26 18:01:51.081	23.5659	EEG1	TTL 3: Rise
65	03/25/26 18:01:51.081	03/25/26 18:01:51.081	23.5659	EEG2	TTL 3: Rise
66	03/25/26 18:01:51.081	03/25/26 18:01:51.081	23.5659	EMG	TTL 3: Rise
67	03/25/26 18:01:52.081	03/25/26 18:01:52.081	24.5654	EEG1	TTL 3: Fall
68	03/25/26 18:01:52.081	03/25/26 18:01:52.081	24.5654	EEG2	TTL 3: Fall
69	03/25/26 18:01:52.081	03/25/26 18:01:52.081	24.5654	EMG	TTL 3: Fall
70	03/25/26 18:01:53.083	03/25/26 18:01:53.083	25.5675	EEG1	TTL 3: Rise
71	03/25/26 18:01:53.083	03/25/26 18:01:53.083	25.5675	EEG2	TTL 3: Rise
72	03/25/26 18:01:53.083	03/25/26 18:01:53.083	25.5675	EMG	TTL 3: Rise
73	03/25/26 18:01:54.085	03/25/26 18:01:54.085	26.5695	EEG1	TTL 3: Fall
74	03/25/26 18:01:54.085	03/25/26 18:01:54.085	26.5695	EEG2	TTL 3: Fall
75	03/25/26 18:01:54.085	03/25/26 18:01:54.085	26.5695	EMG	TTL 3: Fall
76	03/25/26 18:01:54.285	03/25/26 18:01:54.285	26.7699	EEG1	TTL 3: Rise
77	03/25/26 18:01:54.285	03/25/26 18:01:54.285	26.7699	EEG2	TTL 3: Rise
78	03/25/26 18:01:54.285	03/25/26 18:01:54.285	26.7699	EMG	TTL 3: Rise
79	03/25/26 18:01:55.285	03/25/26 18:01:55.285	27.7697	EEG1	TTL 3: Fall
80	03/25/26 18:01:55.285	03/25/26 18:01:55.285	27.7697	EEG2	TTL 3: Fall
81	03/25/26 18:01:55.285	03/25/26 18:01:55.285	27.7697	EMG	TTL 3: Fall
82	03/25/26 18:02:00.288	03/25/26 18:02:00.288	32.7731	EEG1	TTL 3: Rise
83	03/25/26 18:02:00.288	03/25/26 18:02:00.288	32.7731	EEG2	TTL 3: Rise
84	03/25/26 18:02:00.288	03/25/26 18:02:00.288	32.7731	EMG	TTL 3: Rise
85	03/25/26 18:02:01.288	03/25/26 18:02:01.288	33.7725	EEG1	TTL 3: Fall
86	03/25/26 18:02:01.288	03/25/26 18:02:01.288	33.7725	EEG2	TTL 3: Fall
87	03/25/26 18:02:01.288	03/25/26 18:02:01.288	33.7725	EMG	TTL 3: Fall
88	03/25/26 18:02:02.290	03/25/26 18:02:02.290	34.7744	EEG1	TTL 3: Rise
89	03/25/26 18:02:02.290	03/25/26 18:02:02.290	34.7744	EEG2	TTL 3: Rise
